intercept,slope
0,0
0,0
-8.054659955,10.84457763
-4.895206022,7.504956461
-7.647375797,10.82338915
-33.99338731,38.21836849
-3.686827804,6.355530026
-4.432429772,6.924949634
-4.473131373,7.11234052
-36.86770728,39.2636402
-2.185630804,5.371423531
-1.945562382,5.213477641
-40.84914589,43.32546784
-5.111548996,7.805754377
-2.143550339,4.936579884
-3.650239383,6.144700275
-1.919945273,5.947270171
-39.53264678,42.27312585
-41.02721728,43.52687259
-39.62684881,42.21275972
-8.594017839,11.07834689
-2.551847704,6.078851912
-3.226278136,6.06358479
-5.618370644,9.746611794
-6.926346657,11.64561334
-1.716293879,6.958658608
-40.25153164,42.87160079
-38.6869936,41.12370038
-3.720765795,6.75848565
-2.849954348,5.516914085
-7.423718952,9.992846779
-25.47642613,28.05779507
-21.66661483,24.2926681
-29.38792881,31.93119308
-40.64260765,45.84096885
-41.00909875,43.53515176
-6.914478227,9.339629648
-28.01648284,30.62651124
-33.97073269,38.84814874
-2.039678744,6.182780461
-4.064323483,6.730847692
-1.625584852,6.958764669
-2.13679522,6.28818973
-4.787606355,7.312784323
-11.93066487,15.6421979
-12.02716499,16.26893948
-2.807854009,5.701470456
-32.51137856,35.00993186
-3.992399314,6.400298275
-8.717963017,12.28787025
-21.83492463,24.37991758
-1.736262371,5.075748425
-4.390009035,6.930463821
-35.21157889,39.4723524
-33.0298714,35.42147257
-5.792988123,8.571639481
-25.47337569,29.45642577
-35.2355598,38.17464878
-42.81526226,45.59059729
-1.948512843,5.323996193
-38.50906445,41.07911252
-1.697493442,7.580629477
-3.3587364,6.649346616
-5.005108445,8.000619682
-36.27878313,38.79092156
-3.580440472,6.211102002
-43.78667497,46.50191598
-8.740421065,11.87727902
-7.252607152,9.695053158
-3.066671638,5.68691373
-34.89790466,37.40668301
-2.762861689,5.265631729
-29.40524274,33.7068364
-3.038615852,6.02502601
-26.19713735,29.58463196
-2.852914705,5.466313209
-6.50877656,9.115353816
-5.592121528,8.213453629
-2.434014093,6.909139479
-1.754326063,6.509872342
-36.91664818,42.62825087
-32.44218947,35.20300706
-14.8029554,17.34526371
-34.5364611,37.32862913
-42.87166166,45.85211462
-19.59541191,24.30116733
-36.93025599,39.38178444
-30.78412105,33.32259389
-3.18379207,7.262851322
-39.12675589,41.51774269
-2.427832527,6.744618618
-1.692093345,5.862674316
-2.216115184,5.989515789
-3.194989772,5.937503314
-5.773642104,8.36586269
-2.840559456,5.689057215
-9.647728787,12.19694588
-2.3477764,5.01188434
-7.642064086,10.5005347
-4.432435754,6.998939231
-2.425013644,6.354505685
-52.58620243,55.04077144
-35.8618149,38.26638946
-31.01741937,34.60156545
-6.616989006,9.107021482
