arrival_intercept,arrival_slope,departure_intercept,departure_slope,arrival_std,departure_std,seasonal_start,seasonal_end
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4.65862069,0,374.3327586,0,117.0738018,72.87768137,0,0
69.51805556,0,295.2902778,0,85.20953485,67.82762956,1,365
75.23718644,0.8377827085,580.2027265,-5.407780722,18.12575473,31.19014932,91,280
-1453.760004,24.21638934,1438.878022,-17.76146231,92.31593924,88.70669269,0,0
-115.733036,1.567494996,634.7705818,-4.171971415,22.12881947,57.44444512,0,0
99.35972222,0,261.8472222,0,27.63484978,73.59813355,0,0
-214.7788094,5.06737593,1068.194503,-12.72727204,26.35562214,58.16239225,0,0
235.9068761,-1.393418764,525.3471364,-4.597267345,45.04508196,25.1432593,91,280
235.9068761,-1.393418764,525.3471364,-4.597267345,45.04508196,25.1432593,0,0
-20,0,400,0,1,1,0,0
235.9068761,-1.393418764,525.3471364,-4.597267345,45.04508196,25.1432593,91,310
109.296,0,274.141,0,24.62170893,31.20564895,0,0
-534.7491192,10.00889112,655.5233964,-5.554917305,81.6143598,87.19749312,0,0
-20,0,400,0,1,1,0,0
54.59408794,1.457654729,448.1502582,-3.601320522,13.27526918,40.09288524,0,0
-102.303587,3.155552279,1039.048519,-12.56615453,46.35928126,78.64504789,75,330
-208.5453333,5.098909657,857.6112386,-9.586310287,25.47708731,64.07542685,105,300
-195.0616807,4.766462146,816.5011515,-8.879220575,26.32994945,58.65298178,80,300
-20,0,400,0,1,1,1,365
87.53584906,0,291.8216981,0,28.73726142,85.81619788,0,0
86.60172115,0.7067753946,610.5666695,-6.007402227,34.31354481,42.56686014,0,0
3.023333333,0,352.2533333,0,89.05614291,74.35155819,0,0
-20,0,400,0,1,1,1,365
-20,0,400,0,1,1,0,0
111.4954545,0,279.6954545,0,46.54669921,59.75610553,135,315
-20,0,400,0,1,1,1,365
93.34705882,0,237.6955882,0,58.29002132,52.30386929,0,0
-20,0,400,0,1,1,0,0
140.6,0,173.45,0,9.816849538,83.36704595,0,0
-826.1040062,14.3927869,1359.873502,-16.94089773,68.9750401,107.2570163,0,0
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,1,365
-259.1018645,6.334638632,747.0503207,-8.015687565,35.82631526,49.70484294,135,270
109.296,0,274.141,0,24.62170893,31.20564895,70,330
-102.303587,3.155552279,1039.048519,-12.56615453,46.35928126,78.64504789,70,300
-228.5453333,5.098909657,857.6112386,-9.586310287,25.47708731,64.07542685,95,330
-90.90649255,3.384683078,365.1483198,-2.432996795,18.10844312,46.67497241,0,0
-750.4771371,13.04496205,1260.042554,-14.97117916,61.96071228,67.77177624,0,0
105.4612676,0,296.3415493,0,10.84922147,33.52992504,0,0
-295.697052,6.451033393,966.4119787,-10.99103332,52.00998073,88.01102178,0,0
145.7140368,-0.09122370999,196.4296048,0.2115307016,38.85887402,20.95802147,0,0
83.86037736,0,309.2867925,0,24.59514281,105.1071779,60,330
-20,0,400,0,1,1,0,0
88.51617647,0,239.4014706,0,26.61246066,95.5675144,70,315
-289.1018645,6.334638632,747.0503207,-8.015687565,35.82631526,49.70484294,0,0
-67.97658169,2.713733443,651.4874436,-6.160336359,22.81441917,39.56627022,0,0
107.4121951,0,188.8756098,0,12.95580553,46.35114396,0,0
144.6217391,0,232.376087,0,29.05591608,56.73553435,110,270
129.5583333,0,247.1638889,0,15.11366724,77.05607606,115,270
-20,0,400,0,1,1,0,0
-76.57624951,2.987664102,670.102753,-6.606542873,28.83422422,35.25615556,0,0
-128.412697,3.896369511,416.444631,-3.4930084,24.16644271,44.32823063,120,270
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,1,365
91.77571429,0,291.8714286,0,10.79284024,10.57418334,100,270
91.77571429,0,291.8714286,0,10.79284024,10.57418334,80,300
84.88364557,0.9960721885,452.6139617,-3.625408719,10.51577881,48.92335861,130,315
-9.58529293,2.374318327,192.0446404,0.06158662931,25.26756875,27.77916721,0,0
-695.2273009,12.11183939,1319.595244,-16.1765094,112.1224466,132.3298019,0,0
-175.3585915,4.215239164,963.2089201,-11.87316269,25.73367839,79.61221296,0,0
-158.3058327,4.087781265,520.4977655,-4.61967517,22.96789614,49.94624876,0,0
-20,0,400,0,1,1,0,0
-20,0,400,0,1,1,1,365
50.83014997,0.9325162833,980.8666998,-12.43399492,49.04474747,101.4982221,0,0
144.3714286,0,165.3428571,0,11.5030531,73.01165374,130,270
105.4612676,0,266.3415493,0,10.84922147,33.52992504,0,0
-234.9271946,5.405707735,775.3284992,-8.668274368,41.48793601,85.62657783,0,0
140.3090909,0,215.4261364,0,7.524744732,47.42584916,0,0
-443.5524828,7.554187868,1111.190484,-12.50962802,79.99304261,106.8551861,1,365
-150.4893346,4.263469697,474.3357464,-4.367702313,28.90921377,43.42803849,0,0
-128.412697,3.896369511,416.444631,-3.4930084,24.16644271,44.32823063,135,270
-183.3884412,4.533651682,671.1017856,-6.768979466,24.04195906,42.50398031,0,0
-28.4075278,0.1358235186,384.2598743,-0.02485227749,9.268924307,24.88677882,0,0
-20,0,400,0,1,1,0,0
-1453.760004,24.21638934,1438.878022,-17.76146231,92.31593924,88.70669269,0,0
-244.0433488,6.13829413,410.8867358,-3.44675142,32.27049634,35.50013677,0,0
-40.16595214,2.840215132,342.4540307,-2.367498052,14.64327935,47.69072703,0,0
-20,0,400,0,1,1,0,0
-102.2311046,3.284716764,648.3977822,-6.150228534,30.69053939,41.68302824,105,270
-214.7788094,5.06737593,1038.194503,-12.72727204,26.35562214,58.16239225,90,300
-826.1040062,14.3927869,1359.873502,-16.94089773,68.9750401,107.2570163,0,0
-53.88148944,3.105801236,631.9267449,-6.448261441,21.09747846,56.70524005,115,270
28.17777778,0,320.4944444,0,72.33179565,83.33628061,1,365
-186.811877,5.004385745,695.6933551,-7.250770078,29.02333899,67.55403031,100,270
-102.2311046,3.284716764,633.3977822,-6.150228534,30.69053939,41.68302824,115,260
-11.40905521,-0.01954328006,403.5022779,-0.3724623458,44.72684566,40.22366694,0,0
107.6920237,0.6008941209,82.69822589,1.902576426,39.29082541,28.03474957,0,0
140.6,0,183.45,0,9.816849538,83.36704595,135,240
-677.7252812,11.80651828,1362.24011,-16.45838994,53.29328581,64.5330161,0,0
-186.811877,5.004385745,665.6933551,-7.250770078,29.02333899,67.55403031,0,0
69.88364557,0.9960721885,437.6139617,-3.625408719,10.51577881,48.92335861,0,0
-132.9256191,3.861173067,1008.965147,-12.30850019,15.49775103,62.62067609,0,0
-20,0,400,0,1,1,1,365
-92.69163476,3.384205886,593.9359865,-5.724292939,20.8132959,42.43769937,0,0
105.9142857,0,251.9357143,0,12.01628518,58.93034639,100,300
-72.23110462,3.284716764,598.3977822,-6.150228534,30.69053939,41.68302824,0,0
120.99375,0,165.09375,0,16.71749117,103.5600093,100,270
103.65,0,247.3785714,0,21.00727282,68.08449799,85,300
150.0130435,0,227.3673913,0,10.44855884,42.53984092,0,0
91.77571429,0,291.8714286,0,10.79284024,10.57418334,0,0
-289.1018645,6.334638632,747.0503207,-8.015687565,35.82631526,49.70484294,75,270
-18.15763889,0,381.6493056,0,22.13351231,27.99376311,1,365
128.8714286,0,266.5571429,0,4.995049681,4.712510888,0,0
128.8714286,0,266.5571429,0,4.995049681,4.712510888,105,280
68.91666667,0,290.42,0,13.57325977,67.04327886,0,0
-79.68209233,2.950931611,457.7831843,-3.854248824,20.65565382,40.38714241,0,0
-265.697052,6.451033393,906.4119787,-10.99103332,52.00998073,88.01102178,0,0
-18.15763889,0,381.6493056,0,22.13351231,27.99376311,1,365
-875.6331861,14.55482151,1540.629222,-19.51500766,83.26620046,90.75680325,0,0
-1453.760004,24.21638934,1438.878022,-17.76146231,92.31593924,88.70669269,0,0
-1453.760004,24.21638934,1438.878022,-17.76146231,92.31593924,88.70669269,0,0
-20,0,400,0,1,1,0,0
77.71923077,0,249.5423077,0,22.7574097,62.12138624,75,300
-53.88148944,3.105801236,611.9267449,-6.448261441,21.09747846,56.70524005,0,0
-128.412697,3.896369511,416.444631,-3.4930084,24.16644271,44.32823063,0,0
31.45586214,1.152707599,629.1585845,-6.562270765,37.4939157,96.97862117,105,285
-92.69163476,3.384205886,623.9359865,-5.724292939,20.8132959,42.43769937,95,315
-826.1040062,14.3927869,1359.873502,-16.94089773,68.9750401,107.2570163,0,0
-7.868502161,1.879306455,459.1159083,-3.936075343,31.53655693,52.81292066,100,270
243.2093033,-1.884511206,223.7607282,-0.1895158997,46.00843996,79.25742795,0,0
